chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
HUT,2025-02-07,16.5000,put,sell,2025-01-29T13:04:28.783050Z,credit,1.00000,limit,short_put,,0.36000000,1.00000
SOFI,2025-02-07,15.0000,put,buy,2025-01-28T15:01:02.850557Z,debit,1.00000,limit,,short_put,0.30000000,1.00000
SOFI,2025-02-07,15.0000,put,sell,2025-01-28T14:35:54.112886Z,credit,1.00000,limit,short_put,,0.46000000,1.00000
ASTS,2025-01-10,22.5000,put,sell,2024-12-27T15:40:34.585539Z,credit,1.00000,limit,short_put,,1.15000000,1.00000
ASTS,2024-12-27,22.5000,put,buy,2024-12-27T15:39:10.570108Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
ASTS,2024-12-27,22.5000,put,sell,2024-12-19T20:06:36.175983Z,credit,1.00000,limit,short_put,,0.80000000,1.00000
ASTS,2024-12-20,22.5000,put,buy,2024-12-18T18:31:45.647864Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
ASTS,2024-12-20,22.5000,put,sell,2024-12-13T15:42:24.845401Z,credit,1.00000,limit,short_put,,0.70000000,1.00000
ASTS,2024-12-13,22.5000,put,buy,2024-12-06T17:34:50.975321Z,debit,1.00000,limit,,short_put,0.35000000,1.00000
ASTS,2024-12-13,22.5000,put,sell,2024-11-25T19:24:45.834892Z,credit,1.00000,limit,short_put,,1.00000000,1.00000
ASTS,2024-12-13,22.5000,put,buy,2024-11-25T16:33:33.159889Z,debit,1.00000,limit,,short_put,0.75000000,1.00000
ASTS,2024-12-13,22.5000,put,sell,2024-11-25T15:16:05.586904Z,credit,1.00000,limit,short_put,,1.10000000,1.00000
ASTS,2024-11-22,23.0000,put,sell,2024-11-20T16:44:05.322326Z,credit,1.00000,limit,short_put,,0.30000000,1.00000
ASTS,2024-11-22,21.5000,put,buy,2024-11-18T15:13:22.478036Z,debit,1.00000,limit,,short_put,0.25000000,1.00000
ASTS,2024-11-22,21.5000,put,sell,2024-11-15T17:15:01.289412Z,credit,1.00000,limit,short_put,,0.80000000,1.00000
ASTS,2024-11-08,22.5000,put,sell,2024-10-31T17:21:46.913071Z,credit,1.00000,limit,short_put,,0.80000000,1.00000
RIVN,2024-09-13,12.5000,put,sell,2024-09-09T19:44:18.820559Z,credit,1.00000,limit,short_put,,0.17000000,1.00000
